行政區,機構名稱,地址,電話,開放時間,位置指引,基本設備,友善設備或服務,優良哺集乳室認證效期,輪椅使用,貼心小提醒
松山區,微風廣場實業股份有限公司,臺北市松山區復興南路1段39號,02-66008888轉3528,週日至週三11:00~21:30；週四至週六11:00~22:00,A棟2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊,112年8月,無,哺集乳室資訊依各場所實際公告內容為主
松山區,家福股份有限公司三民分公司,臺北市松山區三民路160號,02-27670702轉850,週日至週四08:00~23:00；週五、週六08:00~24:00,2樓男廁旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;免費衛生用品;置物空間;母乳哺育宣導資訊;進行滿意度調查,無,可提供輪椅媽媽使用,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北偶戲館,臺北市松山區市民大道5段99號,02-25289553轉202,週二至週日10:00~17:00,2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市政府體育局（臺北體育館）,臺北市松山區南京東路4段10號,02-25702330,週一至週日06:00~22:00；依據場館開放時間調整,1樓大門入口後方,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱,112年8月,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
松山區,食祿軒餐廳股份有限公司慶城分公司,臺北市松山區復興北路99號,02-77071678轉118,週一至週日11:00~21:30,2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市立圖書館三民分館,臺北市松山區民生東路5段163之1號5樓,02-27600408,週二至週六08:30~21:00；週日、週一09:00~17:00,民生社區活動中心5樓辦公室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;設置意見回饋箱,112年8月,無,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市東區單親家庭服務中心,臺北市松山區南京東路5段251巷46弄5號,02-27685256轉13,週二至週六09:00~18:00；週三09:00~21:00,7樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市立圖書館啟明分館,臺北市松山區敦化北路155巷76號,02-25148443,週一至週日08:30~17:00,3樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北國際航空站,臺北市松山區敦化北路340之9號,02-87703423,週一至週日05:30~22:30,國際線2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,112年8月,以室內設備為主,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北國際航空站,臺北市松山區敦化北路340之9號,02-87703423,週一至週日05:30~22:30,國際線內候機室1樓旅客到站行李提領旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北國際航空站,臺北市松山區敦化北路340之9號,02-87703423,週一至週日05:30~22:30,國內線1樓外候機室行李託運旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北國際航空站,臺北市松山區敦話北路340之9號,02-87703423,週一至週日05:30~22:30,國內線1樓內候機室安檢查驗旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北國際航空站,臺北市松山區敦化北路340之9號,02-87703423,週一至週日05:30~22:30,國內線2樓內候機室10號登機門前,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北國際航空站,臺北市松山區敦化北路340之9號,02-87703423,週一至週日05:30~22:30,國際線2樓內候機室9號登機門旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北國際航空站,臺北市松山區敦化北路340之9號,02-87703423,週一至週日05:30~22:30,國際線2樓內候機室昇恆昌賣店旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查;嬰兒床,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北國際航空站,臺北市松山區敦化北路340之9號,02-87703423,週一至週日05:30~22:30,國際線2樓國際線入境廊道,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北國際航空站,臺北市松山區敦化北路340之9號,02-87703423,週一至週日05:30~22:30,國內線1樓外候機室廁所旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,空軍松山基地指揮部,臺北市松山區民權東路4段121號,02-27198499,週一至週五08:00~17:00,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市政府警察局松山分局,臺北市松山區南京東路4段12號,02-25790692,每日24小時開放,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市榮民服務處,臺北市松山區光復北路1號,02-27699098轉511,週一至週五08:30~17:00,4樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市政府社會局發展遲緩兒童早期療育通報及轉介中心,臺北市松山區民生東路5段163之1號,02-27568852轉106,週一至週五09:30~17:00,7樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市松山區戶政事務所,臺北市松山區八德路4段692號,02-27533043轉517,週一至週五08:30~17:30，例假日不開放,本行政大樓5樓，出電梯左手邊,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱,112年8月,可提供輪椅媽媽使用,由專人協助帶領，使用後填寫登記本；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市政府民政局民生社區中心,臺北市松山區民生東路5段163之1號4樓,02-27666959,週一至週日08:00~22:00,民生社區中心4樓402教室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;置物空間;母乳哺育宣導資訊;進行滿意度調查,無,無,需洽一樓警衛室或民政局開門；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市立圖書館民生分館,臺北市松山區敦化北路199巷5號4樓,02-27138083,週二至週六08:30~21:00；週日、週一09:00~17:00；每月第一個星期四及國定假日休館,民生副中心大樓4樓圖書館綜合櫃台旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,無,使用前請先至櫃檯登記；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市政府體育局（臺北田徑場）,臺北市松山區敦化北路3號,02-25702330轉6531,週一至週日08:00~18:00,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市立圖書館松山分館,臺北市松山區八德路4段688號5~8樓,02-27531875,週二至週六08:30~21:00；週日、週一 09:00~17:00；國定假日及休館日(依官網公告)不對外開放,8樓兒童室,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳哺育宣導資訊,112年8月,無,至7樓服務台借用；哺集乳室資訊依各場所實際公告內容為主
松山區,微風置地股份有限公司南京分公司,臺北市松山區南京東路3段337號,02-66000999轉3528,週一至週日11:00~22:00,地下1樓連通道旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市松山區公所,臺北市松山區八德路4段692號7樓,02-87878787,週一至週五08:30~17:30,志工服務臺後方、人文課旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;消毒器具;母乳專用冰箱;免費衛生用品;置物空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市松山運動中心,臺北市松山區敦化北路1號,02-66176789轉215,週一至週日06:00~22:00,1樓女更衣室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市立圖書館中崙分館,臺北市松山區長安東路2段229號8樓,02-87736858,週二至週六08:30~21:00；週日、週一09:00~17:00；每月第一個週四及國定假日不開放,中崙合署辦公大樓7樓 （需由8樓進入）；圖書館館內7樓，內梯下樓、辦公室及報刊區之間,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,先至8樓服務臺登記並領取鑰匙後，自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北大眾捷運股份有限公司松山機場站,臺北市松山區敦化北路338號,02-21812345,週一至週日06:00~24:00,地下2樓大廳層靠近廁所,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室，並聯絡保全前往開門；哺集乳室資訊依各場所實際公告內容為主
松山區,臺北大眾捷運股份有限公司南京復興站,臺北市松山區南京東路3段253號地下2樓,02-21812345,週一至週日06:00~24:47,西側大廳,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,無,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市松山親子館,臺北市松山區民生東路5段163之1號,02-27661266轉103,週二至週五09:30~12:00、14:00~17:00；週六、週日09:30~11:00、13:00~14:30、15:30~17:00,3樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
松山區,兄弟大飯店,臺北市松山區南京東路3段255號,02-27123456,週一至週日09:00~21:00,12樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊,無,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
松山區,合尊酒店股份有限公司,臺北市松山區敦化北路150號,02-27120234轉2308,每日24小時開放,9樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊,無,無,至服務櫃台登記，並由專人帶領；哺集乳室資訊依各場所實際公告內容為主
松山區,CITYLINK松山貳號店（潤泰百益股份有限公司）,臺北市松山區市民大道6段131號,02-25281115,週一至週日11:00~22:00,3樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
松山區,臺北市政府警察局保安警察大隊,臺北市松山區延壽街339號,02-27629228,每日24小時開放,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
信義區,臺北市政府 （第一哺集乳室）,臺北市信義區市府路1號1樓,02-27208889轉6159,週一至週五08:30~17:30,市政大樓1樓東區,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
信義區,臺北市政府 （第二哺集乳室）,臺北市信義區市府路1號1樓,02-27208889轉6159,週一至週五08:30~17:30,市政大樓1樓東區,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
信義區,臺北市議會,臺北市信義區仁愛路4段507號1樓,02-27297708,週一至週五09:30~17:30,警衛室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;置物空間;嬰兒車停放空間;嬰兒車停放空間;進行滿意度調查,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
信義區,臺北市信義區公所,臺北市信義區福德街86號,02-27239777轉706,週一至週五08:30~17:30,9樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
信義區,臺北市信義區戶政事務所,臺北市信義區福德街86號,02-27233977轉303,週一至週五08:30~17:30,6樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
信義區,臺北市松山地政事務所,臺北市信義區莊敬路391巷11弄2號1樓,02-27230711轉405、406,週一至週五08:30~17:30,1樓廁所旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,無,至服務台登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
信義區,臺北市動物保護處,臺北市信義區吳興街600巷109號,02-87897158轉7155,週一至週五08:00~17:00,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
信義區,臺北市政府警察局婦幼警察隊,臺北市信義區信義路5段180號,02-27592398轉1607,週一至週五08:00~17:00,1樓服務台旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;消毒器具;置物空間;嬰兒車停放空間;進行滿意度調查,無,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
信義區,臺北市信義運動中心,臺北市信義區松勤街100號,02-87861911轉238,週一至週五08:00~17:00,1樓服務台旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊,無,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
信義區,行政院公共工程委員會,臺北市信義區松仁路3號,02-87897771,週一至週五08:00~17:00,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
